Time,NL_563_01_RH61[°C],NL_563_01_RH61[%],NL_563_01_RH61[°C],NL_563_01_RH61[%],NL_563_01_RH90[°C],NL_563_01_RH90[%],NL_563_01_RT61[°C],NL_563_01_RT61[°C],NL_563_01_RT91[°C],NL_563_01_RT91[°C],NL_563_01_RT61[°C],NL_563_01_RT61[°C],NL_563_01_RT91[°C],NL_563_01_RT91[°C],NL_563_01_RR61,NL_563_01_RR61,NL_563_01_RR91,NL_563_01_RR91,NL_563_01_RR61,NL_563_01_RR61,NL_563_01_RR91,NL_563_01_RR91,NL_360_01_Term,NL_360_01_Term,NL_Radiator_Te,NL_433_01_Cons[kWh],NL_433_01_Effe,NL_433_09_Cons[kWh],NL_433_09_Effe[kW],NL_434_01_Q15_[kWh],NL_434_01_Q15_[kW],NL_434_01_Q01_[kWh],NL_434_01_Q01_[kW],NL_563_01_RHLa[°C],NL_563_01_RHLa[%],NL_563_01_RHLa[ppm],RH61054_T_PV[°C],RH61054_RH_PV[%],RHLager2_T_PV[°C],RHLager2_RH_PV[%],RHLager2_CO2_P[ppm],RHLager3_T_PV[°C],RHLager3_RH_PV[%],RHLager3_CO2_P[ppm],RR61054_1_flux,RR61054_2_flux,RR91054_1_flux,RR91054_2_flux,RT61054_1_PV,RT61054_2_PV,RT91054_1_PV,RT91054_2_PV,RR61054_1_PV,RR61054_2_PV,RR91054_1_PV,RR91054_2_PV,NL_Radiator_Te
2018-04-03 00:00:01,22.70,17.95,19.38,22.91,-3.31,97.79,23.80,23.80,-0.50,0.00,25.10,25.30,3.10,4.10,6.61,6.35,-14.62,-13.91,0.52,0.11,-20.34,-23.22,14172.00,1.30,23160.00,1382.60,0.96,601.90,0.15,1142.30,0.06,88.70,0.09,9.83,40.29,393.65,20.90,21.93,8.67,47.40,460.07,10.42,45.23,438.10,4.91,3.92,-1.05,-2.43,24.50,25.40,5.80,6.40,0.30,0.23,-0.06,-0.15,9.52
2018-04-03 00:01:00,22.70,17.95,19.38,22.91,-3.31,97.79,23.90,23.90,-0.50,0.00,25.10,25.40,3.10,4.10,6.40,6.13,-14.72,-13.50,0.52,0.11,-18.91,-20.97,14172.00,1.29,23160.00,1382.70,0.96,601.90,0.20,1142.30,0.06,88.70,0.09,9.83,40.29,395.12,20.90,21.93,8.67,47.40,460.07,10.42,45.23,438.10,4.91,3.92,-1.05,-2.43,24.50,25.40,5.80,6.40,0.30,0.23,-0.06,-0.15,9.52
2018-04-03 00:02:00,22.70,17.95,19.38,22.88,-3.33,97.50,23.80,23.80,-0.50,0.00,25.20,25.30,2.80,3.80,6.61,6.56,-13.70,-13.50,0.63,0.11,-19.83,-23.43,14172.00,1.29,23160.00,1382.70,0.96,601.90,0.19,1142.30,0.06,88.70,0.09,9.85,40.29,395.12,20.90,21.93,8.67,47.40,460.07,10.42,45.23,438.10,4.91,3.92,-1.05,-2.43,24.50,25.40,5.80,6.40,0.30,0.23,-0.06,-0.15,9.52
2018-04-03 00:03:00,22.70,17.95,19.38,22.91,-3.31,97.08,23.90,23.80,-0.50,0.00,25.10,25.40,2.80,3.80,6.82,6.45,-14.00,-13.20,0.63,0.11,-19.22,-22.20,14172.00,1.29,23160.00,1382.70,0.96,601.90,0.19,1142.30,0.05,88.70,0.09,9.85,40.29,395.12,20.90,21.93,8.67,47.40,460.07,10.42,45.23,438.10,4.91,3.92,-1.05,-2.43,24.50,25.40,5.80,6.40,0.30,0.23,-0.06,-0.15,9.52
2018-04-03 00:04:00,22.70,17.95,19.38,22.91,-3.33,96.74,23.90,23.80,-0.60,0.00,25.10,25.40,2.90,3.90,6.61,6.45,-14.72,-13.30,0.84,0.32,-19.01,-21.18,14172.00,1.29,23160.00,1382.70,0.96,601.90,0.21,1142.30,0.06,88.70,0.09,9.83,40.29,395.12,20.90,21.93,8.67,47.40,460.07,10.42,45.23,438.10,4.91,3.92,-1.05,-2.43,24.50,25.40,5.80,6.40,0.30,0.23,-0.06,-0.15,9.52
2018-04-03 00:05:00,22.70,17.95,19.38,22.91,-3.36,96.47,23.70,23.70,-0.70,-0.10,25.10,25.20,2.90,3.90,6.71,6.66,-14.00,-13.20,0.73,0.21,-19.93,-21.99,14172.00,1.29,23160.00,1382.70,0.96,601.90,0.19,1142.30,0.05,88.70,0.09,9.85,40.29,393.65,20.90,21.93,8.67,47.40,460.07,10.42,45.23,438.10,4.91,3.92,-1.05,-2.43,24.50,25.40,5.80,6.40,0.30,0.23,-0.06,-0.15,9.52
2018-04-03 00:06:00,22.70,17.95,19.38,22.91,-3.38,96.52,23.80,23.80,-0.60,0.00,25.10,25.30,3.00,4.00,6.71,6.35,-14.21,-13.71,0.84,0.00,-19.12,-24.04,14172.00,1.29,23160.00,1382.70,0.96,602.00,0.19,1142.30,0.06,88.70,0.09,9.83,40.29,393.65,20.90,21.93,8.67,47.40,460.07,10.42,45.23,438.10,4.91,3.92,-1.05,-2.43,24.50,25.40,5.80,6.40,0.30,0.23,-0.06,-0.15,9.52
2018-04-03 00:07:00,22.69,17.95,19.38,22.91,-3.41,96.74,23.80,23.80,-0.50,0.00,25.10,25.30,2.90,3.90,6.29,6.45,-13.70,-12.89,0.73,0.11,-19.32,-20.87,14172.00,1.29,23160.00,1382.70,0.97,602.00,0.19,1142.30,0.06,88.70,0.09,9.85,40.29,396.09,20.90,21.93,8.67,47.40,460.07,10.42,45.23,438.10,4.91,3.92,-1.05,-2.43,24.50,25.40,5.80,6.40,0.30,0.23,-0.06,-0.15,9.52
2018-04-03 00:08:00,22.70,17.95,19.38,22.91,-3.33,96.72,23.80,23.80,-0.60,0.00,25.10,25.30,3.00,3.90,6.61,6.35,-14.72,-13.71,1.05,0.21,-17.89,-19.13,14172.00,1.29,23160.00,1382.80,0.97,602.00,0.19,1142.30,0.06,88.70,0.09,9.83,40.29,395.12,20.90,21.93,8.67,47.40,460.07,10.42,45.23,438.10,4.91,3.92,-1.05,-2.43,24.50,25.40,5.80,6.40,0.30,0.23,-0.06,-0.15,9.52
2018-04-03 00:09:00,22.70,17.97,19.49,22.88,-3.36,97.01,23.90,23.80,-0.50,0.00,25.10,25.30,3.00,4.00,6.50,6.45,-14.72,-14.02,0.94,0.32,-17.07,-18.93,14172.00,1.29,23160.00,1382.80,0.98,602.00,0.19,1142.30,0.06,88.70,0.09,9.85,40.29,395.12,20.90,21.93,8.67,47.40,460.07,10.42,45.23,438.10,4.91,3.92,-1.05,-2.43,24.50,25.40,5.80,6.40,0.30,0.23,-0.06,-0.15,9.52
